Time,CPU Usage,Memory Usage
2025-03-08 07:26:41,100.0,50.9
2025-03-08 07:27:53,50.0,51.6
2025-03-08 07:28:42,0.0,51.5
2025-03-08 07:28:47,15.0,51.5
2025-03-08 07:28:52,41.1,51.6
2025-03-08 07:28:57,22.9,51.3
2025-03-08 07:29:02,24.7,50.6
2025-03-08 07:29:07,15.3,50.7
2025-03-08 07:29:12,11.0,50.7
2025-03-08 07:29:17,12.6,50.7
2025-03-08 07:29:22,12.2,50.7
2025-03-08 07:29:27,13.6,50.7
2025-03-08 07:29:32,11.2,50.5
2025-03-08 07:29:37,13.6,50.6
2025-03-08 07:29:42,16.2,50.5
2025-03-08 07:29:47,11.8,50.5
2025-03-08 07:29:52,13.7,50.6
2025-03-08 07:29:57,38.5,50.6
2025-03-08 07:30:03,14.2,50.7
2025-03-08 07:30:08,11.1,50.7
2025-03-08 07:30:13,11.6,50.6
2025-03-08 07:30:18,9.8,50.7
2025-03-08 07:30:23,8.7,50.8
2025-03-08 07:30:28,15.8,50.6
2025-03-08 07:30:33,13.3,50.5
2025-03-08 07:30:38,11.6,50.6
2025-03-08 07:30:43,25.3,50.8
2025-03-08 07:30:48,17.9,50.7
2025-03-08 07:30:53,21.5,50.8
2025-03-08 07:30:58,35.5,51.0
2025-03-08 07:31:03,25.9,51.0
2025-03-08 07:31:08,34.1,51.1
2025-03-08 07:31:13,16.8,51.1
2025-03-08 07:31:18,8.9,51.0
2025-03-08 07:31:23,13.1,51.0
2025-03-08 07:31:28,18.2,51.1
2025-03-08 07:31:33,19.3,50.9
2025-03-08 07:31:38,26.6,50.9
2025-03-08 07:31:43,34.4,50.9
2025-03-08 07:31:48,12.5,50.9
2025-03-08 07:31:53,19.7,50.8
2025-03-08 07:31:58,49.5,51.0
2025-03-08 07:32:03,21.6,50.9
2025-03-08 07:32:08,25.3,51.0
2025-03-08 07:32:13,26.5,50.9
2025-03-08 07:32:18,17.6,51.0
2025-03-08 07:32:23,23.6,50.8
2025-03-08 07:32:28,21.8,51.0
2025-03-08 07:32:33,22.8,50.7
2025-03-08 07:32:38,11.9,50.8
2025-03-08 07:32:43,15.7,50.8
2025-03-08 07:32:48,16.8,50.9
2025-03-08 07:32:53,13.9,50.8
2025-03-08 07:32:58,32.2,50.8
2025-03-08 07:33:03,18.8,50.7
2025-03-08 07:33:08,15.3,50.7
2025-03-08 07:33:13,10.9,50.8
2025-03-08 07:33:18,11.4,50.8
2025-03-08 07:33:23,13.9,50.8
2025-03-08 07:33:28,12.5,50.8
2025-03-08 07:33:33,16.2,50.8
2025-03-08 07:33:38,15.9,50.7
2025-03-08 07:33:43,21.9,50.9
2025-03-08 07:33:48,4.1,50.8
2025-03-08 07:33:53,2.7,50.7
2025-03-08 07:33:58,28.9,50.8
2025-03-08 07:34:03,5.0,50.7
2025-03-08 07:34:08,4.4,50.8
2025-03-08 07:34:13,3.4,50.8
2025-03-08 07:34:18,2.6,50.8
2025-03-08 07:34:23,3.3,50.9
2025-03-08 07:34:28,27.7,50.9
2025-03-08 07:34:33,10.1,50.6
2025-03-08 07:34:38,7.2,50.6
